ATTBE,ATTEN,AUKEY,CBDFK,ETTBE,ETTEN,INDNR,LUPDN,LUPDT,LUPDV,LZUAU,MENGE,STTBE,STTEN,UAKEY,UAPIR,UASAA,UASAU,XUA,ZINFO,DFKEY,ORTFR,ORTTO,UAART,UAREE,FGKEY,UAABF,REKEY,SPREK,ATT30,ATT50,ATT55,ATT60,ATT70,ATT75,ATTER,UAAGE,EINHE,ATT20,QKB,SAA20,SAAOF,SKA,STT20,URK,RELFK,UAINF,ETT30,UAKSL,SPKEY,MENG2,CINFO,ATT40,STLIK,OKEYN,ABI,EBI,SBI,TOURK,EINH2,EINH3,EINH4,MENG3,MENG4,XCABA
1.2.2024 7:29 AM,,768087965,,1.2.2024 7:25 AM,1.2.2024 7:35 AM,,13,1.2.2024 7:29 AM,lvapps7;1704176978757,,1,,,800102791,,75,,1.2.2024 7:29 AM,,,347N,T10,,,,,,,,,,,,,,GMS,,1.2.2024 6:12 AM,,,,,,,,,1.2.2024 7:13 AM,,,1,,,,,,600,,,,,,,,
1.2.2024 7:29 AM,,768087966,,1.2.2024 7:25 AM,1.2.2024 7:35 AM,,13,1.2.2024 7:29 AM,lvapps7;1704176978757,,2,,,800102792,,75,,1.2.2024 7:29 AM,,,347N,T10,,,,,,,,,,,,,,GMS,,1.2.2024 6:12 AM,,,,,,,,,1.2.2024 7:13 AM,,,2,,,,,,600,,,,,,,,
1.2.2024 7:29 AM,,768087967,,1.2.2024 7:25 AM,1.2.2024 7:35 AM,,13,1.2.2024 7:29 AM,lvapps7;1704176978757,,1,,,800102793,,75,,1.2.2024 7:29 AM,,,347N,T10,,,,,,,,,,,,,,GMS,,1.2.2024 6:12 AM,,,,,,,,,1.2.2024 7:13 AM,,,1,,,,,,600,,,,,,,,
1.2.2024 7:29 AM,,768087968,,1.2.2024 7:25 AM,1.2.2024 7:35 AM,,13,1.2.2024 7:29 AM,lvapps7;1704176978757,,1,,,800102794,,75,,1.2.2024 7:29 AM,,,347N,T10,,,,,,,,,,,,,,GMS,,1.2.2024 6:12 AM,,,,,,,,,1.2.2024 7:13 AM,,,1,,,,,,600,,,,,,,,
1.2.2024 7:29 AM,,768087975,,1.2.2024 7:25 AM,1.2.2024 7:35 AM,,13,1.2.2024 7:29 AM,lvapps7;1704176978757,,1,,,800102801,,75,,1.2.2024 7:29 AM,,,347N,T10,,,,,,,,,,,,,,GMS,,1.2.2024 6:12 AM,,,,,,,,,1.2.2024 7:13 AM,,,1,,,,,,600,,,,,,,,
1.2.2024 7:29 AM,,768087964,,1.2.2024 7:25 AM,1.2.2024 7:35 AM,,13,1.2.2024 7:29 AM,lvapps7;1704176978757,,3,,,800102790,,75,,1.2.2024 7:29 AM,,,347N,T10,,,,,,,,,,,,,,GMS,,1.2.2024 6:12 AM,,,,,,,,,1.2.2024 7:13 AM,,,4,,,,,,600,,,,,,,,
1.2.2024 10:09 AM,,768087142,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,,11,1.2.2024 10:09 AM,lvapps7;1704186567832,,0,,,800101915,,75,,1.2.2024 10:09 AM,,,251B,T10,,,,,,,,,,,,,,PTM,,1.2.2024 2:54 AM,,,,,,,,,1.2.2024 9:43 AM,,,1,,,,,,600,,,,,,,,
1.2.2024 10:09 AM,,768087145,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,,11,1.2.2024 10:09 AM,lvapps7;1704186567832,,0,,,800101918,,75,,1.2.2024 10:09 AM,,,251B,T10,,,,,,,,,,,,,,PTM,,1.2.2024 2:54 AM,,,,,,,,,1.2.2024 9:43 AM,,,1,,,,,,600,,,,,,,,
1.2.2024 10:32 AM,,768087147,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,,9,1.2.2024 10:32 AM,lvapps7;1704187935829,,3,,,800101921,,75,,1.2.2024 10:32 AM,,,204A,T02,,,,,,,,,,,,,,GMS,,1.2.2024 3:14 AM,,,,,,,,,1.2.2024 10:15 AM,,,3,,,,,,600,,,,,,,,
1.2.2024 10:32 AM,,768087148,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,,10,1.2.2024 10:32 AM,lvapps7;1704187935829,,5,,,800101922,,75,,1.2.2024 10:32 AM,,,204A,T02,,,,,,,,,,,,,,GMS,,1.2.2024 3:14 AM,,,,,,,,,1.2.2024 10:15 AM,,,5,,,,,,600,,,,,,,,
